"Place_names_normalised_spanish","count","percentage","total_occurrences"
"España",313,3.71381110583768,2752
"Roma",228,2.70526815377314,1093
"Italia",200,2.37304224015187,677
"Troya",194,2.30185097294732,350
"Castilla",192,2.2781205505458,1348
"Francia",182,2.15946843853821,1027
"Toledo",145,1.72045562411011,956
"Grecia",128,1.5187470336972,232
"Flandes",121,1.43569055529188,388
"Sevilla",117,1.38822971048885,786
"Madrid",113,1.34076886568581,865
"Aragón",109,1.29330802088277,670
"África",102,1.21025154247746,274
"Granada",92,1.09159943046986,637
"Europa",91,1.0797342192691,132
"Argel",85,1.00854295206455,350
"Córdoba",85,1.00854295206455,236
"Portugal",84,0.996677740863787,313
"Nápoles",82,0.972947318462269,437
"Libia",80,0.94921689606075,138
"Valencia",80,0.94921689606075,421
"Alemania",79,0.937351684859991,185
"Indias (occidentales)",77,0.913621262458472,190
"León",69,0.818699572852397,543
"Egipto",68,0.806834361651637,132
"Asia",66,0.783103939250119,176
"Arabia",64,0.7593735168486,83
"Barcelona",64,0.7593735168486,250
"Jerusalén",63,0.747508305647841,178
"París",59,0.700047460844803,360
"Inglaterra",56,0.664451827242525,217
"Milán",56,0.664451827242525,303
"Sicilia",56,0.664451827242525,200
"Navarra",55,0.652586616041766,280
"China",50,0.593260560037969,59
"Zaragoza",50,0.593260560037969,192
"Andalucía",49,0.581395348837209,76
"Hungría",46,0.545799715234931,212
"Babilonia",45,0.533934504034172,76
"Galicia",43,0.510204081632653,107
"Albania",41,0.486473659231134,164
"Persia",40,0.474608448030375,112
"Venecia",40,0.474608448030375,110
"Etiopía",39,0.462743236829616,52
"India",39,0.462743236829616,61
"Salamanca",39,0.462743236829616,113
"Marruecos",38,0.450878025628856,60
"Valladolid",38,0.450878025628856,89
"Escitia",37,0.439012814428097,40
"Constantinopla",36,0.427147603227337,62
"Orán",36,0.427147603227337,126
"Prado",36,0.427147603227337,147
"Atenas",35,0.415282392026578,91
"Zamora",34,0.403417180825819,90
"Túnez",33,0.391551969625059,92
"Cádiz",32,0.3796867584243,50
"Vizcaya",32,0.3796867584243,53
"Chipre",31,0.367821547223541,69
"Berbería",29,0.344091124822022,40
"Lisboa",29,0.344091124822022,80
"Asturias",28,0.332225913621262,84
"Israel",28,0.332225913621262,97
"Austria",27,0.320360702420503,37
"Burgos",27,0.320360702420503,142
"Génova",27,0.320360702420503,111
"Florencia",25,0.296630280018984,143
"Creta",24,0.284765068818225,47
"Guadarrama",23,0.272899857617466,32
"La Meca",23,0.272899857617466,32
"Marsella",23,0.272899857617466,39
"Pirineos",23,0.272899857617466,27
"Santiago de Compostela",23,0.272899857617466,30
"Alcalá de Henares",22,0.261034646416706,51
"Duero",22,0.261034646416706,28
