EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:57:13	0.0000	0.3151	0.0122	0.5000	0.4828	0.4912	0.3256
2	12:02:24	0.0000	0.0061	0.0125	0.5000	0.4828	0.4912	0.3256
3	12:07:27	0.0000	0.0041	0.0128	0.5000	0.4828	0.4912	0.3256
4	12:12:28	0.0000	0.0028	0.0131	0.5185	0.4828	0.5000	0.3333
5	12:17:27	0.0000	0.0019	0.0134	0.5185	0.4828	0.5000	0.3333
6	12:22:25	0.0000	0.0014	0.0136	0.5185	0.4828	0.5000	0.3333
7	12:27:24	0.0000	0.0014	0.0138	0.5385	0.4828	0.5091	0.3415
8	12:32:22	0.0000	0.0007	0.0139	0.5600	0.4828	0.5185	0.3500
9	12:37:21	0.0000	0.0004	0.0141	0.5600	0.4828	0.5185	0.3500
10	12:42:19	0.0000	0.0007	0.0142	0.5600	0.4828	0.5185	0.3500
11	12:47:18	0.0000	0.0001	0.0144	0.5600	0.4828	0.5185	0.3500
12	12:52:16	0.0000	0.0001	0.0146	0.5600	0.4828	0.5185	0.3500
13	12:57:15	0.0000	0.0001	0.0148	0.5600	0.4828	0.5185	0.3500
14	13:02:15	0.0000	0.0001	0.0151	0.5600	0.4828	0.5185	0.3500
15	13:07:14	0.0000	0.0002	0.0153	0.5600	0.4828	0.5185	0.3500
16	13:12:12	0.0000	0.0000	0.0155	0.5600	0.4828	0.5185	0.3500
17	13:17:16	0.0000	0.0000	0.0156	0.5600	0.4828	0.5185	0.3500
18	13:22:15	0.0000	0.0001	0.0157	0.5600	0.4828	0.5185	0.3500
19	13:27:18	0.0000	0.0000	0.0158	0.5600	0.4828	0.5185	0.3500
20	13:32:17	0.0000	0.0000	0.0158	0.5600	0.4828	0.5185	0.3500
