EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:23:27	0.0000	0.2878	0.0148	0.9167	0.3793	0.5366	0.3667
2	23:37:20	0.0000	0.0144	0.0151	0.9167	0.3793	0.5366	0.3667
3	23:51:15	0.0000	0.0084	0.0152	0.9167	0.3793	0.5366	0.3667
4	00:05:08	0.0000	0.0063	0.0153	0.9167	0.3793	0.5366	0.3667
5	00:19:02	0.0000	0.0054	0.0154	0.9167	0.3793	0.5366	0.3667
6	00:32:56	0.0000	0.0047	0.0155	0.9167	0.3793	0.5366	0.3667
7	00:46:51	0.0000	0.0033	0.0155	0.9167	0.3793	0.5366	0.3667
8	01:00:46	0.0000	0.0025	0.0156	0.9167	0.3793	0.5366	0.3667
9	01:14:42	0.0000	0.0023	0.0157	0.9167	0.3793	0.5366	0.3667
10	01:28:37	0.0000	0.0015	0.0158	0.9167	0.3793	0.5366	0.3667
11	01:42:31	0.0000	0.0019	0.0159	0.9167	0.3793	0.5366	0.3667
12	01:56:26	0.0000	0.0011	0.0160	0.9167	0.3793	0.5366	0.3667
13	02:10:20	0.0000	0.0008	0.0161	0.9167	0.3793	0.5366	0.3667
14	02:24:14	0.0000	0.0007	0.0162	0.9167	0.3793	0.5366	0.3667
15	02:38:08	0.0000	0.0004	0.0163	0.9167	0.3793	0.5366	0.3667
16	02:52:02	0.0000	0.0004	0.0163	0.9167	0.3793	0.5366	0.3667
17	03:05:58	0.0000	0.0004	0.0164	0.9167	0.3793	0.5366	0.3667
18	03:19:53	0.0000	0.0004	0.0164	0.9167	0.3793	0.5366	0.3667
19	03:33:47	0.0000	0.0002	0.0164	0.9167	0.3793	0.5366	0.3667
20	03:47:41	0.0000	0.0002	0.0165	0.9167	0.3793	0.5366	0.3667
